Date,Start (local),Visitor/Neutral,PTS,Home/Neutral,PTS,,Overtimes,Notes
Thu Nov 17 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,74,UNICS,73,,,Regular Season
Thu Nov 17 2016,12:00 AM NUL,Brose Bamberg,74,Baskonia,81,,,Regular Season
Fri Nov 18 2016,12:00 AM NUL,Real Madrid,102,FC Barcelona Lassa,63,,,Regular Season
Fri Nov 18 2016,12:00 AM NUL,Zalgiris,86,CSKA Moscow,95,,,Regular Season
Fri Nov 18 2016,12:00 AM NUL,Darussafaka Dogus,81,Galatasaray Odeabank,85,,,Regular Season
Fri Nov 18 2016,12:00 AM NUL,Olympiacos,79,Panathinaikos Superfoods,77,,,Regular Season
Thu Nov 24 2016,12:00 AM NUL,Crvena Zvezda mts,79,Anadolu Efes,100,,,Regular Season
Thu Nov 24 2016,12:00 AM NUL,Fenerbahce,79,EA7 Emporio Armani Milan,70,,,Regular Season
Thu Nov 24 2016,12:00 AM NUL,Maccabi FOX Tel Aviv,80,Olympiacos,73,,,Regular Season
Thu Nov 24 2016,12:00 AM NUL,UNICS,75,Real Madrid,89,,,Regular Season
Thu Nov 24 2016,12:00 AM NUL,Brose Bamberg,72,Zalgiris,86,,,Regular Season
Fri Nov 25 2016,12:00 AM NUL,Baskonia,84,CSKA Moscow,112,,,Regular Season
Fri Nov 25 2016,12:00 AM NUL,FC Barcelona Lassa,64,Galatasaray Odeabank,78,,,Regular Season
Fri Nov 25 2016,12:00 AM NUL,Darussafaka Dogus,80,Panathinaikos Superfoods,86,,,Regular Season
Thu Dec 1 2016,12:00 AM NUL,CSKA Moscow,90,Brose Bamberg,88,,,Regular Season
Thu Dec 1 2016,12:00 AM NUL,Anadolu Efes,86,Maccabi FOX Tel Aviv,77,,,Regular Season
Thu Dec 1 2016,12:00 AM NUL,Real Madrid,77,Fenerbahce,78,,,Regular Season
Thu Dec 1 2016,12:00 AM NUL,EA7 Emporio Armani Milan,79,UNICS,100,,,Regular Season
Fri Dec 2 2016,12:00 AM NUL,Panathinaikos Superfoods,57,FC Barcelona Lassa,72,,,Regular Season
Fri Dec 2 2016,12:00 AM NUL,Olympiacos,77,Darussafaka Dogus,71,,,Regular Season
Fri Dec 2 2016,12:00 AM NUL,Zalgiris,88,Crvena Zvezda mts,79,,,Regular Season
Fri Dec 2 2016,12:00 AM NUL,Galatasaray Odeabank,62,Baskonia,69,,,Regular Season
Wed Dec 7 2016,12:00 AM NUL,Brose Bamberg,85,Maccabi FOX Tel Aviv,70,,,Regular Season
Thu Dec 8 2016,12:00 AM NUL,CSKA Moscow,79,EA7 Emporio Armani Milan,64,,,Regular Season
Thu Dec 8 2016,12:00 AM NUL,Zalgiris,91,Real Madrid,96,,,Regular Season
Thu Dec 8 2016,12:00 AM NUL,Crvena Zvezda mts,72,Fenerbahce,87,,,Regular Season
Fri Dec 9 2016,12:00 AM NUL,FC Barcelona Lassa,68,Anadolu Efes,72,,,Regular Season
Fri Dec 9 2016,12:00 AM NUL,UNICS,59,Olympiacos,88,,,Regular Season
